peringkat,input,aktiviti,alat,output,format_fail,semakan_manusia,risiko,bukti_disimpan
Persoalan,,,,,,,,
Carian,,,,,,,,
Pemilihan,,,,,,,,
Pengurusan rujukan,,,,,,,,
Analisis,,,,,,,,
Visualisasi,,,,,,,,
Penulisan,,,,,,,,
Pengesahan,,,,,,,,
Perkongsian,,,,,,,,
